Value,Std. Error,t value,p value
raceethAmerican Indian/Alaskan Native,0.656962371117074,0.839594008706504,0.782476249597354,0.433934737936079
raceethAsian,1.11664967273682,0.294249617053458,3.79490612058792,0.000147699332539192
raceethHispanic/Latino,0.0452336768974413,0.247332195961105,0.182886327118345,0.854887211336383
raceethMultiple Hisp/Lat,0.122328915838376,0.224072285864133,0.545935055585367,0.585110580325035
raceethMultiple non-Hisp/Lat,0.214656896583037,0.280432114622975,0.765450479420416,0.444003343757392
raceethNative Hawaiian/Pac Isld,-0.272017123531109,0.72604459405336,-0.374656220511873,0.707916155438173
raceethWhite,-0.0649733651527126,0.178102964808155,-0.364807880782328,0.715254821931966
SexM,-0.107193945700814,0.178396184834407,-0.600875774335166,0.547922729783855
Age14 years old,0.390130764523721,0.420609666615918,0.927536372767132,0.353648115920944
Age15 years old,0.305292435737885,0.360596100800156,0.846632659256288,0.3971999041804
Age16 years old,0.249800085734147,0.294492737745257,0.848238525834987,0.396305145644491
Age17 years old,0.260793827987692,0.213939292103438,1.21900855809881,0.222840944285339
Grade11th,0.0614853526166601,0.217936746916766,0.282124760906625,0.777847847625146
Grade12th,0.216960604329354,0.290219161923992,0.747575049459263,0.454716518986863
Grade9th,-0.183363150160163,0.213898619276394,-0.857243262160688,0.391310457848983
height,0.444737784105511,0.876901893414681,0.507169373729699,0.612035982034776
indv_weight,0.0156624949048594,0.00392500277449647,3.99044174099183,6.59503478775746e-05
seatbelt_wearMost of the Time,-0.152265367941596,0.135798107638187,-1.1212628113146,0.262176010343629
seatbelt_wearNever,-0.545815717774306,0.443003833987089,-1.23207899322653,0.217919577634651
seatbelt_wearRarely,-0.424245110699096,0.382621434802526,-1.10878553084213,0.267522713843249
seatbelt_wearSometimes,-0.340921603458953,0.222525808534694,-1.53205421745855,0.125509056133075
pass_drink_drv1 time,-0.385537718511954,0.266526400526552,-1.44652731493122,0.148029356385092
pass_drink_drv2 or 3 times,-0.207453997708058,0.284441879669434,-0.729337036969212,0.465795521996439
pass_drink_drv4 or 5 times,-0.467324358072628,0.488379212053097,-0.956888308386517,0.338623633017765
pass_drink_drv6 or more times,0.139941427427258,0.306423767008318,0.456692471323413,0.647892102979653
drink_drv1 time,0.624270115681675,0.444857965997753,1.40330209504404,0.160526773740116
drink_drv2 or 3 times,0.66714355190312,0.493653658957625,1.35144050853756,0.176554364926474
drink_drv4 or 5 times,1.05041660351016,1.12759371179726,0.93155592525956,0.351566069824506
drink_drv6 or more times,1.18208295699036,0.727515544767876,1.6248215800908,0.104200581438215
drink_drvI did not drive in last 30,1.05098731801436,0.137788794516567,7.62752386144142,2.39305524479554e-14
drv_text_email1 or 2 days,0.0707539781728866,0.257964327606656,0.274278148569334,0.783870875758703
drv_text_email10 to 19 days,-0.420863172025688,0.368215033363795,-1.14298204552088,0.253046045679216
drv_text_email20 to 29 days,0.262339947404387,0.481776613240449,0.544526114789754,0.58607948272657
drv_text_email3 to 5 days,0.388747362672441,0.322372965428743,1.20589318696567,0.227858677938673
drv_text_email6 to 9 days,-0.350822866765039,0.354759639475313,-0.988902985931275,0.322710609493874
drv_text_emailAll 30 days,0.345705413656583,0.274441502667403,1.25966885582734,0.207788844884489
unsafe1 day,-0.340858013957995,0.368258005917382,-0.9255956652154,0.354656146953406
unsafe2 or 3 days,0.0184374480827372,0.407733140974504,0.0452194002152258,0.963932430930592
unsafe4 to 5 days,2.29853779292596,0.505314540838338,4.5487267971996,5.39714563208137e-06
unsafe6 or more days,-0.666454683372761,0.782235182431542,-0.851987609789063,0.394220968959119
bullied_schYes,0.223512086899872,0.179706241178623,1.24376363021086,0.213586569630566
bullied_elecYes,-0.313142309868142,0.198897520456241,-1.57439021436688,0.11539726473892
sadYes,0.195485115972806,0.162066977830143,1.20619955150696,0.227740556831391
suicide_considerYes,-0.450754254178863,0.239412885938985,-1.8827485095925,0.0597344580185396
suicide_planYes,0.571161407055738,0.262744390462298,2.17382911981786,0.0297179707553298
suicide_attempt1 time,0.0853433636283462,0.393531886762978,0.216865180431359,0.828313413818579
suicide_attempt2 or 3 times,0.430020242196059,0.458661648593131,0.937554390071799,0.348473459937495
suicide_attempt4 or 5 times,0.410110469248336,0.942267761317983,0.435237717010185,0.663389888080807
suicide_attempt6 or more times,0.292272965252245,0.725074657307135,0.403093615680517,0.686879357073277
suicide_treatNo,-0.249886897494983,0.386066621074082,-0.647263668637729,0.517461310997271
sex_contactFemales,-0.342923528235099,0.280175654578945,-1.2239590507978,0.220967675507733
sex_contactMales,-0.839916751828792,0.274787903353996,-3.05660016899203,0.00223862667810592
sex_contactNever had sex,1.12411723054419,0.256594659078679,4.3809065807543,1.18186538072955e-05
0 times|1 time,3.40460943233274,1.40067291975974,2.43069554947684,0.0150698715143066
1 time|2 or 3 times,3.51674510197336,1.40145430479863,2.50935409733439,0.0120952170560398
2 or 3 times|4 or 5 times,3.60433564413382,1.40062858818602,2.57337003866376,0.0100713463430983
4 or 5 times|6 or more times,3.63764759895327,1.40098283771954,2.59649690275613,0.00941797547797694
6 or more times|I did not date in past 12 mo,3.6811521141383,1.40085878113775,2.62778244581409,0.00859434608734103
