Estimate,Std. Error,t value,Pr(>|t|)
drv_text_email6 to 9 days,0.0610773326410209,0.543469890049996,0.112384023032816,0.910531878595582
drv_text_emailAll 30 days,-0.286043085530241,0.530179080901131,-0.539521636810079,0.589595963148462
unsafe1 day,0.941993463034479,0.435136061679728,2.16482508803835,0.0305365791831314
unsafe2 or 3 days,0.750744542083676,0.639550498363178,1.17386280521254,0.240610534890469
unsafe4 to 5 days,2.8422724597104,1.61767570398699,1.75701004391994,0.0790918592892014
unsafe6 or more days,3.6787447038151,1.47191448028117,2.49929242024467,0.0125356174871403
bullied_elecYes,2.43567296586259,0.215127158597605,11.3220152292278,1.00337227729356e-28
sadYes,1.0402500355061,0.215296555218973,4.83170775513845,1.47246821787244e-06
suicide_considerYes,0.460624787670327,0.301841928626094,1.52604639708927,0.127179943856067
suicide_planYes,-0.36511069080752,0.342261555363126,-1.06675928127584,0.286228453198761
suicide_attempt1 time,0.803408364368705,0.856656819692208,0.937841555568735,0.348455922621079
suicide_attempt2 or 3 times,-0.0372137733336605,0.824947942135444,-0.0451104505301627,0.964024444891554
suicide_attempt4 or 5 times,2.27572299160485,1.09343974728482,2.08125138788472,0.0375567292702628
suicide_attempt6 or more times,-2.67836266319582,2.45070404307145,-1.09289519098318,0.274591019002255
suicide_treatNo,-0.409797944545196,0.813385329285072,-0.503817723028505,0.614453215790041
smoke_days1 to 2 days,-0.0344660764163447,0.569721254146169,-0.060496385145396,0.951767238199998
smoke_days10 to 19 days,-0.13615807264501,0.884382048281632,-0.153958431098378,0.877660355400212
smoke_days20 to 29 days,-0.219571830366083,0.916787835227709,-0.239501247648586,0.81074512100451
smoke_days3 to 5 days,0.446320517764329,0.819148417673913,0.544859158773349,0.585920171651191
smoke_days6 to 9 days,0.335468716994843,0.763268513422702,0.439515990893573,0.660342245437494
smoke_daysAll 30 days,-0.249649333639834,0.734608233038924,-0.33984009763556,0.73401794252835
vape_days1 to 2 days,0.4270270071864,0.514663380882047,0.829720984723155,0.406810304227225
vape_days10 to 19 days,-0.710500191696092,0.707529872472758,-1.00419815380085,0.31542265773259
vape_days20 to 29 days,-3.12097563801629,2.04429103237689,-1.52667873046801,0.12702255798472
vape_days3 to 5 days,0.543388204159843,0.658612099919518,0.825050442022313,0.409455981775041
vape_days6 to 9 days,-4.83157463857725,1.11582949017273,-4.33002952613246,1.57577993579991e-05
vape_daysAll 30 days,0.318876669009573,0.770136658867622,0.414052058602738,0.678886984466382
drink_days1 to 2 days,0.310269830105749,0.248431637652763,1.24891432120823,0.211864311747489
