Value,Std. Error,t value,p value
raceethAmerican Indian/Alaskan Native,0.229516950433846,0.627987131079385,0.365480340400211,0.714752879426499
raceethAsian,1.21178372236822,0.302713918712078,4.00306575767597,6.25269137638254e-05
raceethHispanic/Latino,0.219188056267332,0.253671693447844,0.864061942774071,0.387553863875719
raceethMultiple Hisp/Lat,0.211470788140719,0.233372344420811,0.906151877873758,0.364855469772391
raceethMultiple non-Hisp/Lat,0.482022580828249,0.292912949063505,1.64561717865107,0.09984260009069
raceethNative Hawaiian/Pac Isld,0.14242777478147,0.667955618361527,0.213229398580165,0.83114803875614
raceethWhite,0.11804793340059,0.185480893049654,0.63644255459234,0.524488011846794
SexM,-0.199143315540503,0.179898479257205,-1.10697609208682,0.268304265094563
Age14 years old,0.0906033117236894,0.426904138704804,0.212233388035481,0.831924960111586
Age15 years old,0.241777486719751,0.36691731136973,0.658942707873819,0.509932559548619
Age16 years old,0.151924117183187,0.298454421030863,0.509036242982899,0.610726820163704
Age17 years old,0.156044501260288,0.214454906526021,0.727633159754049,0.46683817631413
Grade11th,0.201639914942984,0.22252212535537,0.906156700691955,0.364852917435685
Grade12th,0.160292534997408,0.297877248196678,0.538116072871644,0.590496916724643
Grade9th,0.00879077728033206,0.216145008612331,0.0406707392262703,0.967558389001655
height,0.410398699940421,0.888232022133769,0.462039973468345,0.644052654975937
indv_weight,0.0152091580616914,0.00387134681582098,3.92864777692775,8.54248503480175e-05
seatbelt_wearMost of the Time,-0.107991992610517,0.134717754182698,-0.801616633721958,0.4227747527352
seatbelt_wearNever,-0.365550902892501,0.439692901473005,-0.831377767682574,0.405760254486937
seatbelt_wearRarely,-0.700419069132321,0.422457000739541,-1.65796535009761,0.0973244603550006
seatbelt_wearSometimes,-0.383245664368466,0.234754780693931,-1.63253614361163,0.102566590849613
pass_drink_drv1 time,-0.404404255240607,0.2520029528716,-1.60475998646992,0.108546634927556
pass_drink_drv2 or 3 times,-0.0032372499487287,0.262941011694017,-0.0123116965583743,0.990176935559278
pass_drink_drv4 or 5 times,-0.64157355693409,0.524143761416603,-1.2240411966368,0.220936686991619
pass_drink_drv6 or more times,-0.015739780025342,0.419086144952109,-0.0375573857903145,0.970040585144171
drink_drv1 time,0.803953786312464,0.44707091800562,1.7982690305576,0.0721343849532785
drink_drv2 or 3 times,0.0358176594293761,0.608867497526412,0.0588266898379189,0.953090149851393
drink_drv4 or 5 times,-10.5592921002532,1.01117507799578,-10.442595283482,1.58419392412831e-25
drink_drv6 or more times,1.55960141227878,0.626072203885138,2.49108873162001,0.0127352310498968
drink_drvI did not drive in last 30,1.03493822162715,0.138403332608003,7.4776972644032,7.56361847692769e-14
drv_text_email1 or 2 days,0.234029710159395,0.246569932722644,0.949141314900892,0.342548744025413
drv_text_email10 to 19 days,-0.117850409628543,0.357246000008724,-0.329885875910898,0.741486196058464
drv_text_email20 to 29 days,0.103746457764244,0.524448082864063,0.197820263156792,0.843185691748598
drv_text_email3 to 5 days,0.428997101420073,0.322408788234002,1.33059990011411,0.183320695394459
drv_text_email6 to 9 days,-0.20015948590086,0.35007513862558,-0.571761498650548,0.567483564258075
drv_text_emailAll 30 days,0.357523469292803,0.281593601249484,1.26964344255837,0.204211667406195
unsafe1 day,-0.133372506407779,0.355250745268248,-0.37543202423705,0.707339191863523
unsafe2 or 3 days,0.204498929397125,0.415012756541163,0.4927533579967,0.622186870763723
unsafe4 to 5 days,1.60854755278663,0.544487650794258,2.95424065254778,0.00313439480183624
unsafe6 or more days,-1.3090071680349,0.976494550230712,-1.34051661396946,0.180077446633274
bullied_schYes,0.203797233734559,0.179073996879915,1.13806156832041,0.255094774416271
bullied_elecYes,-0.266920409914902,0.193642830723588,-1.37841617434271,0.168074832435427
sadYes,0.214252572999984,0.160357231469996,1.33609548528575,0.181518065474586
suicide_considerYes,-0.483903156662247,0.234037030964376,-2.06763500061622,0.0386743582517569
suicide_planYes,0.584383777806101,0.260132334742251,2.24648649843985,0.024672863395251
suicide_attempt1 time,0.0840621339689779,0.427410979219091,0.196677525978779,0.84407989824491
suicide_attempt2 or 3 times,0.49792902442143,0.456278010651596,1.09128428895873,0.275147808755626
suicide_attempt4 or 5 times,-0.133988123186416,1.07485186483959,-0.124657292385506,0.900794869324704
suicide_attempt6 or more times,-0.94848520742208,1.29781244260176,-0.730833806401658,0.464880671559424
suicide_treatNo,-0.159543342111479,0.402623916709291,-0.396258978888914,0.69191398572412
sex_contactFemales,-0.734488264262586,0.285028075042,-2.57689795699724,0.00996913759386234
sex_contactMales,-0.594770574276706,0.258839663712733,-2.29783397855438,0.021571240068937
sex_contactNever had sex,1.05134914019354,0.246243272043537,4.26955478404972,1.95863538203686e-05
0 times|1 time,3.31199412351202,1.4429257669616,2.29533230284338,0.0217140877323459
1 time|2 or 3 times,3.46002491707439,1.44442062585241,2.39544136600272,0.0166003690764767
2 or 3 times|4 or 5 times,3.544982931488,1.44376221206018,2.45537866407341,0.0140736254459831
4 or 5 times|6 or more times,3.56488620780056,1.44278770457464,2.47083212346306,0.0134799082296181
6 or more times|I did not date in past 12 mo,3.59543001687064,1.44261397467074,2.4923022236016,0.0126917991927344
